Codigo;Estoque;Preco;Vencimento;Descricao
1000;414;15.72;2028-03-15;Leite Vida Light
1001;959;37.65;2026-10-31;Queijo Saboroso Especial
1002;647;39.81;2027-05-25;Suco Qualidade Zero
1003;53;87.23;2027-09-29;Sal Qualidade Especial
1004;478;66.29;2027-04-09;Óleo Premium Especial
1005;772;89.21;2026-07-24;Arroz Top Especial
1006;945;39.84;2026-06-10;Suco Top Especial
1007;793;16.84;2027-04-16;Leite Top Light
1008;455;70.08;2026-11-27;Creme Dental Saboroso Refinado
1009;867;69.65;2027-01-12;Presunto Top Integral
1010;822;67.26;2028-04-11;Molho de Tomate Qualidade Caseiro
1011;289;31.36;2027-10-10;Iogurte Top Caseiro
1012;356;58.37;2026-10-27;Feijão Natural Integral
1013;157;83.99;2027-10-04;Queijo Extra Integral
1014;840;76.71;2028-03-21;Creme Dental Qualidade Especial
1015;325;18.26;2026-09-27;Creme Dental Vida Especial
1016;980;27.77;2026-07-30;Ovos Extra Light
1017;19;70.16;2027-10-05;Ovos Natural Refinado
1018;143;44.39;2027-12-25;Feijão Qualidade Light
1019;154;68.83;2027-10-23;Queijo Vida Caseiro
1020;773;26.02;2027-10-12;Ovos Natural Zero
1021;955;21.92;2026-07-01;Detergente Premium Especial
1022;569;79.21;2027-05-19;Sal Natural Tradicional
1023;860;74.23;2028-02-19;Queijo Fazenda Caseiro
1024;291;73.86;2028-04-22;Farinha Natural Zero
1025;367;55.02;2027-12-01;Suco Top Caseiro
1026;565;20.63;2028-01-19;Óleo Extra Refinado
1027;786;31.24;2027-11-12;Óleo Fazenda Light
1028;730;82.71;2027-09-05;Leite Saboroso Tradicional
1029;820;17.84;2026-12-07;Maionese Extra Especial
1030;104;61.37;2027-12-01;Manteiga Qualidade Zero
1031;372;72.72;2027-01-18;Presunto Premium Especial
1032;93;42.13;2026-09-02;Feijão Extra Caseiro
1033;65;29.85;2027-01-08;Manteiga Premium Refinado
1034;624;49.56;2026-12-01;Biscoito Premium Tradicional
1035;21;31.87;2026-08-03;Cereal Natural Zero
1036;740;11.28;2028-04-06;Sal Extra Tradicional
1037;551;32.98;2027-05-30;Biscoito Vida Integral
1038;573;87.97;2027-03-20;Sabonete Saboroso Tradicional
1039;813;72.61;2026-06-29;Macarrão Natural Tradicional
1040;698;48.16;2027-03-05;Creme Dental Vida Zero
1041;294;41.62;2028-03-15;Iogurte Top Caseiro
1042;767;88.13;2027-12-08;Queijo Top Tradicional
1043;918;80.72;2027-08-16;Maionese Premium Refinado
1044;89;23.95;2027-01-18;Macarrão Saboroso Caseiro
1045;618;10.69;2026-10-23;Vinagre Natural Refinado
1046;789;43.15;2027-07-31;Achocolatado Extra Zero
1047;824;12.24;2027-08-22;Feijão Extra Tradicional
1048;244;7.91;2026-09-01;Feijão Premium Caseiro
1049;412;31.66;2026-09-14;Sabonete Saboroso Integral
1050;278;39.95;2027-05-20;Achocolatado Saboroso Caseiro
1051;151;31.73;2026-10-16;Sal Top Zero
1052;252;83.22;2027-11-10;Achocolatado Saboroso Tradicional
1053;563;51.93;2026-07-09;Vinagre Fazenda Especial
1054;590;11.32;2028-01-24;Iogurte Natural Light
1055;784;67.96;2027-02-12;Suco Saboroso Especial
1056;765;32.78;2027-12-12;Molho de Tomate Saboroso Tradicional
1057;512;46.45;2028-04-09;Sabonete Top Zero
1058;566;77.22;2028-02-20;Sal Saboroso Integral
1059;448;56.69;2026-06-07;Queijo Qualidade Light
1060;985;39.43;2027-02-05;Queijo Qualidade Integral
1061;245;34.63;2026-08-12;Queijo Vida Especial
1062;158;29.55;2028-01-01;Pão Vida Especial
1063;208;26.49;2026-12-20;Sabonete Top Refinado
1064;430;7.38;2028-01-14;Biscoito Extra Especial
1065;776;66.89;2028-04-16;Leite Extra Especial
1066;304;87.49;2028-02-27;Óleo Vida Zero
1067;64;75.33;2026-12-09;Ovos Vida Refinado
1068;756;2.66;2026-12-21;Macarrão Vida Zero
1069;28;18.68;2027-01-29;Biscoito Extra Refinado
1070;947;47.33;2026-11-29;Ovos Saboroso Light
1071;310;71.04;2026-07-21;Sal Fazenda Refinado
1072;653;19.78;2027-09-20;Café Premium Refinado
1073;520;31.54;2027-07-03;Arroz Saboroso Caseiro
1074;729;70.24;2028-05-02;Açúcar Vida Integral
1075;550;52.0;2028-01-31;Leite Qualidade Tradicional
1076;634;11.87;2027-05-25;Cereal Saboroso Refinado
1077;827;89.62;2027-11-28;Sabonete Natural Tradicional
1078;999;40.96;2026-06-11;Farinha Extra Especial
1079;36;9.13;2027-08-08;Queijo Extra Integral
1080;681;60.79;2028-04-27;Achocolatado Premium Zero
1081;609;20.87;2028-04-22;Sal Qualidade Tradicional
1082;905;15.56;2027-12-15;Creme Dental Premium Light
1083;232;76.34;2028-03-16;Queijo Vida Tradicional
1084;890;2.99;2027-11-21;Detergente Premium Refinado
1085;425;76.14;2026-09-16;Iogurte Premium Especial
1086;40;15.66;2028-05-11;Iogurte Vida Zero
1087;347;78.17;2027-04-09;Detergente Saboroso Light
1088;762;63.16;2027-10-04;Molho de Tomate Fazenda Especial
1089;744;81.27;2026-08-01;Farinha Saboroso Tradicional
1090;465;26.91;2026-05-31;Açúcar Fazenda Refinado
1091;783;60.86;2026-11-25;Presunto Natural Tradicional
1092;823;47.12;2027-10-09;Pão Saboroso Integral
1093;707;59.59;2027-09-24;Sabonete Premium Refinado
1094;881;71.3;2026-12-01;Sal Extra Tradicional
1095;910;73.1;2028-02-02;Farinha Qualidade Especial
1096;711;44.28;2027-02-25;Suco Top Light
1097;969;73.28;2027-06-01;Pão Qualidade Light
1098;668;67.52;2028-04-27;Molho de Tomate Vida Tradicional
1099;302;70.84;2026-08-29;Detergente Top Light
1099;102;60.84;2026-08-29;Cafe Gourmet
